date,symbol,open,high,low,close,volume
2024-01-02,AAA,100.00,101.50,99.50,101.00,1000
2024-01-02,BBB,50.00,50.75,49.25,50.25,1800
2024-01-03,AAA,101.00,102.50,100.75,102.00,1100
2024-01-03,BBB,50.25,51.00,49.75,50.50,1750
2024-01-04,AAA,102.00,103.00,101.25,102.75,1050
2024-01-04,BBB,50.50,51.25,50.00,51.00,1900
2024-01-05,AAA,102.75,104.00,102.25,103.50,1200
2024-01-05,BBB,51.00,51.75,50.50,51.25,1850
2024-01-08,AAA,103.50,104.50,103.00,104.00,1300
2024-01-08,BBB,51.25,52.00,50.75,51.75,1950
2024-01-09,AAA,104.00,105.25,103.75,105.00,1250
2024-01-09,BBB,51.75,52.25,51.25,52.00,2000
